name,from,address,square_metre,price,total_price,fellesutg,owner?,type,rooms_amount,visning,link
Solheim | Flott 4-roms leilighet med innglasset balkong m. fantastisk utsikt. Varmtvann og sentralvarme ink. i fellesutg,EIE eiendomsmegling Bergen Sentrum,"Solheimslien 14, Bergen",73,2290000,3461240,8819,Andel,Leilighet,3,0,https://www.finn.no/realestate/homes/ad.html?finnkode=311324369
Sandviken - Lekker selveiende toppleilighet med solrik fransk balkong. Meget god planløsning.,Privatmegleren Vest,"Tordenskjolds gate 41, Bergen",30,2590000,2665392,1000,Eier (Selveier),Leilighet,1,"30. juli, kl 11:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311919987
"FJELLSIDEN/STAREFOSSEN - Lekker familiebolig over 2 plan på 130 m2 m/4 sov, 2 stuer, 2 bad. Utmerket beliggenhet. Flott oppusset innvendig i 2020",DNB Eiendom AS,"Nystuveien 20, Bergen",131,7190000,7371092,750,Eier (Selveier),Tomannsbolig,4,"1. august, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=304630484
KALFARET - Flott 3-roms hjørneleilighet med moderne standard - Solrik terrasse og felles takterrasse - Heis og garasjeplass m/lader,PrivatMegleren Vikebø & Jørgensen,"Kalfarveien 58, Bergen",82,4590000,4639801,4681,Andel,Leilighet,2,"31. juli, kl 15:15",https://www.finn.no/realestate/homes/ad.html?finnkode=305723643
KALFARET - Flott leilighet med god standard i villabygg oppusset i 2012 - Parkering - Lav husleie - Like ved sentrum og Haukeland!,PrivatMegleren Vikebø & Jørgensen,"Kalvedalsveien 3, Bergen",48,3290000,3382892,1000,Eier (Selveier),Leilighet,1,"31. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=306487369
Landås - Innflytningsklar og lekker studioleilighet i nærheten av Haukeland sykehus | Parkering | Lave bokostnader,Partners Bergen AS,"Nattlandsveien 8, Bergen",22,1800000,1857470,1254,Eier (Selveier),Leilighet,0,"1. august, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311850568
Solheimsviken - Tiltalende 3-roms med attraktiv og sentrumsnær beliggenhet. Lave bokostnader og gangavstand til studieinstitusjoner.,PrivatMegleren Vikebø & Jørgensen,"Skrivergaten 36, Bergen",59,3250000,3341892,700,Eier (Selveier),Leilighet,2,"27. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311769370
Gyldenpris - Flott 4-roms toppleilighet med fantastisk utsikt | To uteplasser | Ingen forkjøpsrett | Heis | Mulighet for parkering,DNB Eiendom AS,"Gyldenprisveien 45, Bergen",76,3180000,3288132,5733,Andel,Leilighet,3,"26. juli, kl 14:15",https://www.finn.no/realestate/homes/ad.html?finnkode=305715896
"Flott selveiende 2-roms leilighet med god planløsning! Svært sentralt med nærhet til bl.a butikk, bybane og turområder",Krogsveen Fyllingsdalen,"Bøhmergaten 19, Bergen",39,2790000,2860920,1450,Eier (Selveier),Leilighet,1,"1. august, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311612065
Kronstad - 3-roms leilighet med sentral beliggenhet | Gangavstand til det meste | Parkeringsplass i felles garasje.,Aktiv Arna & Åsane As,"Asbjørnsens gate 6, Bergen",81,4350000,4497037,4982,Andel,Leilighet,2,"27. juli, kl 16:30",https://www.finn.no/realestate/homes/ad.html?finnkode=301710060
"Møhlenpris - Strøken toppleilighet over to plan. God planløsning med to bad og tre soverom. Kort vei til bl.a. BI, UiB, sentrum.",PrivatMegleren Vikebø & Jørgensen,"Ole Vigs gate 2, Bergen",70,5490000,5637892,1498,Eier (Selveier),Leilighet,3,"26. juli, kl 14:15",https://www.finn.no/realestate/homes/ad.html?finnkode=302424989
Bergen - Pen og sentrumsnær selveierleilighet | Velholdt med moderne kvaliteter | Soverom + kontor | Privat uteplass,PrivatMegleren Åsane,"Claus Fastings gate 2, Bergen",39,3290000,3382892,960,Eier (Selveier),Leilighet,1,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311681707
Selveiende toppleilighet i hjertet av Bergen sentrum.,Krogsveen Bergen Sentrum,"Nedre Korskirkeallmenningen 12B, Bergen",43,3500000,3588670,1500,Eier (Selveier),Leilighet,1,"27. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311419656
